record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
N	4.1	20200302	WDFW	COOP	04	!04P00062729						2		2008	20090303	20090303	3F10510  080259 R02	3F10510  08     H	3F10510  080178 S	E	H			0.3							0000	28500									KELSEY CR08.0259-R02	ROGER URBANIAK PROJECT	ISSAQUAH CR  08.0178	WA	MPS	LAKW	N	0	0	0	28500	0
T	4.1	20040428	USFWS	USFWS	07	050291	13			D	072003UINB6N425	2		2001	20030415	20030423	3F21702  210429 R	3F21702  210429 H	3F21702  210429 S	S	H	B	FR	24.14		N	5000	19350			5000	11901			B	0.026	37	500		QUIN000425	COOK CR      21.0429	QUINAULT NFH -COOK C	COOK CR      21.0429	WA	NWC	QEQU	C	19350	0	11901	0	0
T	4.1	20200127	ADFG	ADFG	01	040872	12					2		2004	20060524	20060603	1F1SE101 3010750010		1F1SE101 3010750010	S	W	I			100	N	5000	2724								0					HUGH SMITH LK 101-30	NA	HUGH SMITH LK 101-30	AK	SEAK	SESE	N	2724	0	0	0	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO1010						2	3	2010	20110621	20110705	2FS  GSVIR0277	2FS  GSVIH0277	2FS  GSVIS0277	F	H	P	FR	2.5		N					0000	100500			B						R-Oyster R	H-Oyster River H	S-Oyster R	BC	GST	GSVI	N	0	0	0	100500	0
T	4.1	20040428	USFWS	USFWS	07	050188	13			D	072003AKAR27465	2		2001	20030415	20030416	3F21704  200015 R	3F21704  200015 H	3F21704  200015 S	S	H	P	FR	27.33		N	0000	8392			0000	1792			B	0.176	34	500		MAKA000465	TSOO-YESS R      20.0015	MAKAH NFH ON TSOO-YESS R	TSOO-YESS R      20.0015	WA	NWC	QUHO	C	0	8392	0	1792	0
T	4.1	20200127	ADFG	ADFG	01	310364	12					2	3	2005	20070608	20070612	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	11687			5000	82				0.007					MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	11687	0	82	0	0
T	4.1	20101203	NWIFC	ELWHA	14	633980	12			D	142008DI001	2	3	2006	20080320	20080509	3F10806  180274 H	3F10806  180274 H	3F10806  180274 S	S	H	P	VO	30.24		N	5000	78303	0000	1566	5000	157			B	0.002		511			LOWER ELWHA HATCHERY	LOWER ELWHA HATCHERY	LOWER ELWHA  18.0274	WA	JUAN	ELDU	N	78303	1566	157	0	0
T	4.1	20040428	USFWS	USFWS	07	051086	13			D	072003AKAR23465	2		2001	20030415	20030416	3F21704  200015 R	3F21704  200015 H	3F21704  200015 S	S	H	P	FR	26.93		N	5000	9482			5000	40192			B	0.078	32	500		MAKA000465	TSOO-YESS R      20.0015	MAKAH NFH ON TSOO-YESS R	TSOO-YESS R      20.0015	WA	NWC	QUHO	C	9482	0	40192	0	0
N	4.1	20200127	ADFG	ADFG	01	!01062ADFG01						2	3	2004	20060623	20060623	1F2UC247 5010060	1F2UC247 5010060999	1F2UC247 5010060	S	H	P		17.25		N					0500	252775			W						SHIP CR 247-50	FORT RICHARDSON	SHIP CR	AK	CEAK	UCI	N	0	0	0	252775	0
N	4.1	20200127	ADFG	KRAA	01	!01062KRAA07						2	2	2004	20060508	20060508	1F4KD259 21	1F4KD259 1010020	1F4KD259 2110120	S	H	P		16.73		N					0000	9534			W						BIG LK 259-21 (B)	PILLAR CREEK	BUSKIN R 259-21	AK	WEAK	KODI	N	0	0	0	9534	0
N	4.1	20200127	ADFG	KRAA	01	!01062KRAA14						2		2004	20060418	20060418	1F4KD259 1010035998	1F4KD259 1010020	1F4KD259 2110120999	S	H	O		15.58		N					0000	3486									ABERCROMBIE LK 259-10	PILLAR CREEK	BUSKIN LK 259-21	AK	WEAK	KODI	N	0	0	0	3486	0
T	4.1	20200127	ADFG	ADFG	01	0401040906	15					2		2002	20030514	20030516	1F1NE115 2010100		1F1NE115 2010100	E	W	I			38	N	5000	2134								0					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	2134	0	0	0	0
T	4.1	20040428	USFWS	USFWS	07	051080	13			D	072003UILB80440	2		2001	20030505	20030505	3F10412  170012 R	3F10412  170012 H	3F10412  170012 S	S	H	K	FR	23.58		N	5000	12148			5000	75604			B	0.004	33	500		QUIL000440	BIG QUILCENE 17.0012	QUILCENE NFH	BIG QUILCENE 17.0012	WA	HOOD	LUDA	C	12148	0	75604	0	0
T	4.1	20200127	ADFG	ADFG	01	0401060105	15					2		2005	20060426	20060430	1F1SW103 8010310		1F1SW103 8010310	E	W				40	N	5000	681								0					CHUCK CR 103-80	NA	CHUCK CR 103-80	AK	SEAK	SESW	N	681	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	0401060107	15					2	3	2007	20080522	20080605	1F1SE101 3010750010		1F1SE101 3010750010	E	W	I			38	N	5000	2275								0					HUGH SMITH LK 101-30	NA	HUGH SMITH LK 101-30	AK	SEAK	SESE	N	2275	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	0401050905	15					2		2006	20070530	20070605	1F1SE101 3010750010		1F1SE101 3010750010	E	W	I			38	N	5000	516								0					HUGH SMITH LK 101-30	NA	HUGH SMITH LK 101-30	AK	SEAK	SESE	N	516	0	0	0	0
T	4.1	20200127	ADFG	SJC	01	0401020104	3					2		2006	20080514	20080524	1M1NW113 4199995	1F1NW113 4110190	1F1NW113 4110190	S	H	P		16.9	119	N	5000	19585			0000	121875				0					CRESCENT BAY 113-41	SHELDON JACKSON	INDIAN R 113-41	AK	SEAK	SENW	N	19585	0	0	121875	0
N	4.1	20040311	USFWS	USFWS	07	!07200328020						2		2002	20030813	20030813	3F21702  210429 R	3F21702  210429 H	3F21702  210429 S	G	H	P	FR	10.3		N					0000	8020			B					QUIN000477	COOK CR      21.0429	QUINAULT NFH -COOK C	COOK CR      21.0429	WA	NWC	QEQU	C	0	0	0	8020	0
T	4.1	20200127	ADFG	ADFG	01	0401060203	15					2	3	2008	20090517	20090617	1F1NE115 2010100		1F1NE115 2010100	E	W	I			38	N	5000	2793			5000	113				0.0389					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	2793	0	113	0	0
T	4.1	20200127	ADFG	ADFG	01	040815	12					2		2004	20060513	20060603	1F1NE111 3210320		1F1NE111 3210320	S	W					N	5000	5685								0					TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	5685	0	0	0	0
